	Ob.EPA.a_S122_L007_R1_001	Ob.c_S136_L007_R1_001	Ob.1012.c_S140_L007_R1_001	WT.EPA.e_S151_L007_R1_001
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0
ACGPID_pos	2.3103401206121505	3.3132458517875616	2.4222330006830477	2.7311832415722
ACGSm_pos	4.6076262208454875	5.184677020680892	4.705977901682522	5.222263603528345
ACHEe_pos	0.12432813500220177	0.34482849699744117	0.27500704749986976	0.11103131238874395
ACHtn_pos	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0
ACITL_pos	7.425845305639428	6.232660756790275	8.872890306645276	6.957334247428052
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACNAM9PL_pos	3.753818443173543	3.552131108253784	3.6484654430273142	3.5298209465286954
ACNAM9PL2_pos	3.753818443173543	3.552131108253784	3.6484654430273142	3.5298209465286954
ACNAMlt_pos	4.593353770980297	4.604071323668861	4.343407822297814	4.393004256898322
ACNAMlt_neg	4.593353770980297	4.604071323668861	4.343407822297814	4.393004256898322
ACNAMPH_pos	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0
ACOAD10m_pos	8.814966919740149	9.301038849903147	8.46474993900329	7.802451741275622
ACOAD1fm_pos	9.939770189815897	10.359925220256905	9.74579195304803	9.08672008645982
ACOAD8m_pos	6.312156888313374	6.5570424152637194	6.009212786805205	6.620733018352099
ACOAD9m_pos	8.818294568407728	9.293356688477829	8.478567405579449	7.706461482757571
ACOAHi_pos	6.553360503335328	7.070711322098937	6.398658196365506	6.12536180635178
ACOAO7p_pos	10.434117356436676	10.567861033085917	10.308668946326973	9.43028527297778
ACOATA_pos	7.873136468833458	6.500802053057158	9.159921779779072	6.6526298968407405
ACOATA_neg	7.873136468833458	6.500802053057158	9.159921779779072	6.6526298968407405
ACODA_pos	4.663913842115978	5.04745114041639	4.460742563789644	4.837943241891027
ACONT_pos	6.764075401399719	7.1651079851445365	6.616181231331876	6.645154031370372
ACONT_neg	6.764075401399719	7.1651079851445365	6.616181231331876	6.645154031370372
ACONTm_pos	7.910073034506099	8.24569530497819	7.964687419569461	7.255689555220626
ACONTm_neg	7.910073034506099	8.24569530497819	7.964687419569461	7.255689555220626
ACOX22x_pos	7.056908618323252	7.490168969516861	7.007980336495346	6.708463165072117
ACOX2x_pos	7.056908618323252	7.490168969516861	7.007980336495346	6.708463165072117
ACP1_FMN__pos	4.926948247949772	5.002252451731379	4.797531839571962	4.794415866350106
ACRNtm_pos	7.388706169226381	7.7880331141212515	7.2106226443969055	6.034303767768035
ACS_pos	7.453105980387882	6.679057785493291	8.241697203266154	7.322469004113554
ACS2_pos	7.453105980387882	6.679057785493291	8.241697203266154	7.322469004113554
ACSm_pos	0.09761079662642233	0.08406426478847456	0.25096157353321874	0.15055967657538138
ACSOMT_pos	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0
ACTLMO_pos	11.767431345922345	12.389526480610943	11.54098526210617	11.828612542618123
ACTNMO_pos	11.767431345922345	12.389526480610943	11.54098526210617	11.828612542618123
ACYP_pos	4.286881147788161	4.334139178838237	4.576522137920503	3.9457949567400608
ADA_pos	1.4005379295837286	0.44360665147561457	1.1375035237499351	1.372952097911829
ADAe_pos	1.4005379295837286	0.44360665147561457	1.1375035237499351	1.372952097911829
ADCim_pos	0.0	0.0	0.0	0.0
ADEt_pos	0.34482849699744117	0.918386234446348	0.5753123306874368	0.5655971758542251
ADEt_neg	0.34482849699744117	0.918386234446348	0.5753123306874368	0.5655971758542251
ADEtl_pos	1.6369145803558778	1.8073549220576042	1.8953026213333068	1.996388746447621
ADEtl_neg	1.6369145803558778	1.8073549220576042	1.8953026213333068	1.996388746447621
ADHAPtx_pos	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0
ADK1_pos	7.451458409785833	8.003827078111476	7.425845305639428	7.170926525287385
ADK1_neg	7.451458409785833	8.003827078111476	7.425845305639428	7.170926525287385
ADK1m_pos	7.656281838092683	8.238022517825721	7.614709844115208	7.386121156814855
ADK1m_neg	7.656281838092683	8.238022517825721	7.614709844115208	7.386121156814855
ADK3_pos	0.0	0.35614381022527536	0.0	0.11103131238874395
