	Ob-DHA-b_S132_L007_R1_001
5MTAte_neg	15074.959916529631
5MTAte_pos	14747.184931747239
5MTHFt2_neg	1288.2448446810872
5MTHFt2_pos	1288.2448446810872
5MTHFt2le_neg	2370.3973507979204
5MTHFt2le_pos	2370.3973507979204
5MTHFt_neg	1288.2448446810872
5MTHFt_pos	1288.2448446810872
5OXPROt_neg	10213.875525819734
5OXPROt_pos	6077.702994773762
5THFtl_pos	3189.094969830583
5THFtm_pos	3769.508179529249
6DHFtl_pos	3426.8999740428453
6DHFtm_pos	3832.002189869173
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51739.95001222981
6HTSTSTERONEtr_neg	51739.95001222983
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3426.8999740428453
6THFtm_pos	3832.002189869172
7DHCHSTEROLtr_neg	10899.890874499037
7DHCHSTEROLtr_pos	75863.89052306551
7DHFtl_pos	3557.4174220032382
7DHFtm_pos	3876.407800927224
7THFtl_pos	3557.417422003238
7THFtm_pos	3876.407800927223
A4GALTc_pos	0.0
A4GALTg_pos	11082.998277856375
A4GNT1g_pos	0.0
A4GNT2g_pos	250.773811981194
AACOAT_pos	4073.362877701283
AACTOOR_pos	12142.350339717153
AACTtm_pos	12142.350339717153
AASAD3m_pos	26.1571064380849
AATAi_neg	3846.5858094650293
AATAi_pos	48.47659250307842
