	Ob-c_S136_L007_R1_001
3NTD7l_pos	0.0
3SALAASPm_neg	14066.425152643933
3SALAASPm_pos	0.0
3SALACBOXL_pos	9937.999274223239
3SALAOX_pos	26356.3488733173
3SALATAi_pos	13338.356447972004
3SALATAim_pos	14066.425152643935
3SPYRSP_pos	13338.356447972004
3SPYRSPm_pos	14066.425152643935
41R1H2MAE12BOOX_pos	39044.75949365587
41R2A1H12BOOX_pos	31321.17203116781
42A12BOOX_pos	0.0
4ABUTtcn_pos	9408.735213434284
4ABUTtm_neg	9345.788706270907
4ABUTtm_pos	12425.178333054704
4HBZCOAFm_pos	45059.430297518404
4HBZFm_pos	45059.430297518404
4HDEBRISOQUINEte_neg	7.435764868242246
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1308.1428528345637
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10850.191518691801
4HPROLTASCT1_pos	1661.847287999813
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	3989.9473776446557
4MOPte_neg	7303.205426631187
4MOPte_pos	7659.90569011879
4MPTNLte_neg	0.0
4MPTNLte_pos	60674.70886851487
4MPTNLtm_neg	60674.708868514856
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.435764868242246
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.238015019834766
4NPHSFte_pos	0.0
4NPHSULT_pos	22.23801501983477
4NPHte_neg	0.0
4NPHte_pos	13.981693055301115
4OHPROIMINOtc_pos	1661.847287999813
4PYRDX_pos	7910.764631156323
5ADTSTSTERONEGLCte_pos	68351.27271997416
5ADTSTSTERONEGLCtr_neg	68351.27271997416
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7017.28594915264
5ADTSTSTERONESte_neg	8.00920983403281
5ADTSTSTERONESte_pos	54260.056814141855
5ADTSTSTERONEte_neg	54896.438360496475
5ADTSTSTERONEte_pos	7.175299573578174
5ADTSTSTERONEtr_neg	38.57080224525185
5ADTSTSTERONEtr_pos	54898.208920788726
5AOPtm_neg	14444.896150994804
5AOPtm_pos	0.0
5DHFtl_pos	3192.929444303888
5FTHFt2_neg	0.0
5FTHFt2_pos	6.325672656237654
5HLTDL_pos	7.462452641627884
5HOMEPRAZOLEte_neg	7.435764868242246
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	425.9548292999813
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.412466423622683
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15032.422495130571
5MTAte_pos	14807.308133738905
5MTHFt2_neg	1256.768339891218
5MTHFt2_pos	1256.768339891218
5MTHFt2le_neg	2281.6643903408635
5MTHFt2le_pos	2281.6643903408635
5MTHFt_neg	1256.768339891218
5MTHFt_pos	1256.768339891218
5OXPROt_neg	10150.941794499746
5OXPROt_pos	6041.505141638812
5THFtl_pos	3191.5661882955305
5THFtm_pos	3770.413780389389
6DHFtl_pos	3429.281287732494
6DHFtm_pos	3828.1329165563243
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51682.22359740455
6HTSTSTERONEtr_neg	51682.22359740454
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3429.2812877324945
6THFtm_pos	3828.132916556325
7DHCHSTEROLtr_neg	10922.273786952488
7DHCHSTEROLtr_pos	75784.51702306425
7DHFtl_pos	3559.5528578259537
7DHFtm_pos	3869.365461498863
7THFtl_pos	3559.5528578259537
7THFtm_pos	3869.365461498864
A4GALTc_pos	0.0
A4GALTg_pos	11125.71814584834
A4GNT1g_pos	0.0
A4GNT2g_pos	250.24117953197708
AACOAT_pos	4078.0435926854866
AACTOOR_pos	12227.178327163458
AACTtm_pos	12227.178327163458
AASAD3m_pos	26.04463757069572
AATAi_neg	3819.6446288845514
AATAi_pos	48.22147982216195
ABO1g_pos	10404.759497737245
ABO2g_pos	10036.014010466562
ABO3g_pos	10191.350341278157
ABO4g_pos	9400.973664953628
ABO5g_pos	9400.973664953628
ABO6g_pos	8806.602596497809
ABO7g_pos	8806.602596497809
ABO8g_pos	9093.853252734982
ABO9g_pos	8185.762116518183
ABTArm_neg	9345.78870627091
ABTArm_pos	12425.178333054713
ABTD_neg	5054.495083314127
ABTD_pos	7.831019940092364
ABTti_pos	5054.495083314127
ABUTD_pos	12270.828323570477
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	474.5786993928827
ABUTt2r_pos	571.3745992220092
ABUTt4_2_r_neg	571.3745992220094
ABUTt4_2_r_pos	474.5786993928827
ACACT10m_neg	13400.13473403027
ACACT10m_pos	9570.780746110458
ACACT1r_neg	6976.173430569452
ACACT1r_pos	15772.194031114104
ACACT1rm_pos	4971.974258052905
ACACT1x_pos	9571.122625254342
ACACT4p_pos	23867.241629455966
ACACT5p_pos	23867.24162945598
ACACT6p_pos	23867.24162945598
ACACT7p_pos	23212.379251768914
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	375.35225400747674
ACACt2_pos	375.35225400747674
ACACt2m_neg	1237.4179628858685
ACACt2m_pos	1237.4179628858685
ACACtx_neg	5706.464326448602
ACACtx_pos	0.0
ACALDt_neg	6133.583165668037
ACALDt_pos	5.112996853207686
ACALDtm_neg	8812.446641923603
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	53927.252491094274
ACALDtx_neg	0.0
ACALDtx_pos	11.730975749808799
ACCOAC_pos	4171.055398155563
ACCOACm_pos	4253.967809625282
ACCOAL_pos	3231.984274199286
ACCOALm_pos	4403.097563889329
ACCOAgt_neg	0.0
ACCOAgt_pos	18979.171950502114
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
