	Ob-DHA-c_S138_L007_R1_001
ABUTt2r_pos	612.593899696438
ABUTt4_2_r_neg	612.593899696438
ABUTt4_2_r_pos	499.6075899264005
ACACT10m_neg	13503.192394669066
ACACT10m_pos	9673.034504594007
ACACT1r_neg	7036.755204255174
ACACT1r_pos	15923.441564207593
ACACT1rm_pos	4995.122136154942
ACACT1x_pos	9634.408697151712
ACACT4p_pos	23955.20165374418
ACACT5p_pos	23955.201653744178
ACACT6p_pos	23955.201653744185
ACACT7p_pos	23298.180154303598
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	384.5451264954818
ACACt2_pos	384.5451264954818
ACACt2m_neg	1239.2264063347316
ACACt2m_pos	1239.2264063347316
ACACtx_neg	5706.494739932588
ACACtx_pos	0.0
ACALDt_neg	6247.668267861901
ACALDt_pos	5.143294164577159
ACALDtm_neg	8884.678581772027
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54052.74895576566
ACALDtx_neg	0.0
ACALDtx_pos	11.726667033674195
ACCOAC_pos	4166.893296351627
ACCOACm_pos	4197.127305845003
ACCOAL_pos	3220.2754385199255
ACCOALm_pos	4299.735480065469
ACCOAgt_neg	0.0
ACCOAgt_pos	19077.770566303756
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1468.9376546790309
ACCOAtr_pos	1468.9376546790309
ACETONEt2_neg	10499.622438762342
ACETONEt2_pos	5.505714083917592
ACETONEt2m_neg	10499.62243876234
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10862.8102569435
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10862.8102569435
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9425.725589264084
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9425.725589264084
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8826.741312451753
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8826.741312451753
ACGALK2_pos	545.2050075596775
ACGALK_pos	544.2127434235891
ACGALtlg_neg	899.8736321952431
ACGALtlg_pos	0.0
ACGALtly_pos	544.2127434235891
ACGAM2E_neg	3892.1725676170836
ACGAM2E_pos	29843.386423856453
ACGAM6PSi_pos	3393.155408502092
ACGAMK_pos	3892.1725676170845
ACGAMPM_neg	0.0
ACGAMPM_pos	3892.1725676170836
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	899.8736321952431
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	899.8736321952431
ACGPID_pos	50.66376557489715
ACGSm_pos	0.0
ACHEe_pos	5282.386944530305
ACHVESSEC_pos	4052.757317921957
ACHtn_neg	5700.0
ACHtn_pos	5700.0
