	WT-911-a_S119_L007_R1_001	WT-DHA-c_S134_L007_R1_001	WT-EPA-d_S142_L007_R1_001	Ob-a_S121_L007_R1_001
RE3519C_neg	0.0	0.0	0.0	0.0
RE3519R_pos	0.0	0.0	0.0	0.0
RE3519R_neg	0.0	0.0	0.0	0.0
RE3519X_pos	0.0	0.0	0.0	0.0
RE3519X_neg	0.0	0.0	0.0	0.0
RE3520C_pos	7.77623561482759	8.093391153253014	7.486312138372037	8.999605459131164
RE3520C_neg	7.77623561482759	8.093391153253014	7.486312138372037	8.999605459131164
RE3520E_pos	2.321928094887362	2.720278465233327	2.625270489374693	3.4073527511400403
RE3520E_neg	2.321928094887362	2.720278465233327	2.625270489374693	3.4073527511400403
RE3520M_pos	11.03130834477856	11.315189196191026	10.897338760287274	11.627082401670604
RE3520M_neg	11.03130834477856	11.315189196191026	10.897338760287274	11.627082401670604
RE3520N_pos	7.77623561482759	8.093391153253014	7.486312138372037	8.999605459131164
RE3520N_neg	7.77623561482759	8.093391153253014	7.486312138372037	8.999605459131164
RE3521C_pos	0.0	0.0	0.0	0.0
RE3521C_neg	0.0	0.0	0.0	0.0
RE3521M_pos	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3521M_neg	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3521R_pos	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3521R_neg	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3521X_pos	0.0	0.0	0.0	0.0
RE3521X_neg	0.0	0.0	0.0	0.0
RE3522C_pos	0.0	0.0	0.0	0.0
RE3522R_pos	0.0	0.0	0.0	0.0
RE3524R_pos	0.0	0.0	0.0	0.0
RE3524R_neg	0.0	0.0	0.0	0.0
RE3525C_pos	0.7739963251111731	0.7048719644563528	0.5260688116675876	0.47508488294878287
RE3525M_pos	0.0	0.0	0.0	0.0
RE3525N_pos	0.0	0.0	0.0	0.0
RE3525R_pos	0.0	0.0	0.0	0.0
RE3525X_pos	0.0	0.0	0.0	0.0
RE3526C_pos	0.7739963251111731	0.7048719644563528	0.5260688116675876	0.47508488294878287
RE3526M_pos	0.0	0.0	0.0	0.0
RE3526X_pos	0.0	0.0	0.0	0.0
RE3532C_pos	0.0	0.0	0.0	0.0
RE3532C_neg	0.0	0.0	0.0	0.0
RE3532M_pos	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3532M_neg	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3532R_pos	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3532R_neg	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3533C_pos	0.0	0.0	0.0	0.0
RE3533C_neg	0.0	0.0	0.0	0.0
RE3533M_pos	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3533M_neg	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3533R_pos	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3533R_neg	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3534C_pos	0.0	0.0	0.0	0.0
RE3534C_neg	0.0	0.0	0.0	0.0
RE3534M_pos	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3534M_neg	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3534R_pos	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3534R_neg	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3535R_pos	0.0	0.0	0.0	0.0
RE3535R_neg	0.0	0.0	0.0	0.0
RE3536C_pos	0.0	0.0	0.0	0.0
RE3536C_neg	0.0	0.0	0.0	0.0
RE3537C_pos	0.0	0.0	0.0	0.0
RE3537C_neg	0.0	0.0	0.0	0.0
RE3550X_pos	0.0	0.0	0.0	0.0
RE3551X_pos	0.0	0.0	0.0	0.0
RE3551X_neg	0.0	0.0	0.0	0.0
RE3552X_pos	0.0	0.0	0.0	0.0
RE3552X_neg	0.0	0.0	0.0	0.0
RE3554C_pos	0.0	0.0	0.0	0.0
RE3554C_neg	0.0	0.0	0.0	0.0
RE3554M_pos	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3554M_neg	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3554R_pos	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3554R_neg	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3556C_pos	0.0	0.0	0.0	0.0
RE3556C_neg	0.0	0.0	0.0	0.0
RE3557C_pos	0.0	0.0	0.0	0.0
RE3557C_neg	0.0	0.0	0.0	0.0
RE3557M_pos	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
