	WT.d_S141_L007_R1_001
ACNMLr_pos	8537.753842162147
ACOAD10m_pos	328.82282118184906
ACOAD1fm_pos	18733.678902259053
ACOAD8m_pos	338.8767286213564
ACOAD9m_pos	12188.06657084191
ACOAHi_pos	3403.89300996517
ACOAO7p_pos	18306.317259296884
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1205.9202357884346
ACONT_pos	1205.9202357884346
ACONTm_neg	359.75945722304743
ACONTm_pos	359.75945722304743
ACOX22x_pos	69638.8226931941
ACOX2x_pos	59705.420382756325
ACP1_FMN__pos	3524.8057400633543
ACRNtm_pos	2653.5733476182254
ACS2_pos	3368.7325508511117
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3403.8930099651684
ACSm_pos	4221.201176574056
ACTLMO_pos	5606.398994832341
ACTNMO_pos	14635.245515792647
ACYP_pos	3319.8616158210493
ACt2m_neg	4376.4525503599825
ACt2m_pos	4801.724819937675
ACt2r_neg	1298.8019261269908
ACt2r_pos	1298.8019261269908
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7965.318486349914
ADAe_pos	8142.16926620805
ADCim_pos	10790.410277905172
ADEt_neg	6248.243445572476
ADEt_pos	31369.89641354125
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1168.587800969124
ADK1_pos	1168.587800969124
ADK1m_neg	429.97977869157984
ADK1m_pos	429.97977869157984
ADK3_neg	1168.587800969124
ADK3_pos	1168.587800969124
ADK3m_neg	429.97977869157984
ADK3m_pos	429.97977869157984
ADKd_neg	1166.3626014912586
ADKd_pos	1166.3626014912586
ADMDC_pos	15494.728367570364
ADNCYC_pos	3454.9622882440917
ADNK1_pos	3415.8032297390732
ADNK1m_pos	2425.4896119220725
ADNK3_pos	4309.409410711754
ADNK4_pos	4309.409410711754
ADNt4_pos	954.2533146839799
ADNt5le_pos	1432.106766567305
ADNt_neg	954.2533146839799
ADNt_pos	1190.0673725555448
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5939.917462793921
ADNtm_pos	8973.747318865044
ADPACDAc_pos	8055.657286790828
