	Ob-911-c_S139_L007_R1_001
A4GALTg_pos	11127.581195293797
A4GNT1g_pos	0.0
A4GNT2g_pos	250.21302441123717
AACOAT_pos	4084.2393187499574
AACTOOR_pos	12128.440968946194
AACTtm_pos	12128.440968946194
AASAD3m_pos	26.06036607645178
AATAi_neg	3951.292419667218
AATAi_pos	48.49809336572041
ABO1g_pos	10444.75106706444
ABO2g_pos	10070.47565519826
ABO3g_pos	10203.344989675626
ABO4g_pos	9418.770690535026
ABO5g_pos	9418.770690535026
ABO6g_pos	8819.776470253339
ABO7g_pos	8819.776470253339
ABO8g_pos	9100.770342820075
ABO9g_pos	8197.822958344621
ABTArm_neg	9365.599905201849
ABTArm_pos	12527.419663626839
ABTD_neg	5066.513406614149
ABTD_pos	7.869292944331567
ABTti_pos	5066.513406614149
ABUTD_pos	12185.717908486024
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	485.6136700316397
ABUTt2r_pos	592.8494801714784
ABUTt4_2_r_neg	592.8494801714784
ABUTt4_2_r_pos	485.6136700316397
ACACT10m_neg	13489.489003019107
