	exTreg_Lymph_exTreg1_L1
ACACT10m_pos	20911.33637060343
ACACT1r_neg	19141.765211410908
ACACT1r_pos	29822.73454038038
ACACT1rm_pos	15124.270793883086
ACACT1x_pos	20335.136991771546
ACACT4p_pos	44066.27891571978
ACACT5p_pos	44066.27891571978
ACACT6p_pos	44066.27891571979
ACACT7p_pos	42425.85304016692
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	2186.584777430832
ACACt2_pos	2186.584777430832
ACACt2m_neg	2850.0
ACACt2m_pos	2850.0
ACACtx_neg	9909.349241449354
ACACtx_pos	0.0
ACALDt_neg	7713.465610031518
ACALDt_pos	6.74512849836465
ACALDtm_neg	14236.917964948563
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	71016.57503053984
ACALDtx_neg	0.0
ACALDtx_pos	14.182071370157237
ACCOAC_pos	6335.464516798293
ACCOACm_pos	6980.379639820471
ACCOAL_pos	5079.420938500661
ACCOALm_pos	9193.743639651466
ACCOAgt_neg	0.0
ACCOAgt_pos	28635.579895688512
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	4260.930138073875
ACCOAtr_pos	4260.930138073875
ACETONEt2_neg	17751.024436146134
ACETONEt2_pos	8.509195464339552
ACETONEt2m_neg	17751.02443614614
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	14604.13460096034
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	14604.134600960342
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	12563.609960723896
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	12563.6099607239
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	11901.016953807119
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	11901.01695380712
ACGALK2_pos	648.3310039520558
ACGALK_pos	645.7466865609047
ACGALtlg_neg	1182.445071409846
ACGALtlg_pos	0.0
ACGALtly_pos	645.7466865609048
ACGAM2E_neg	6407.215614051434
ACGAM2E_pos	41095.9177172601
ACGAM6PSi_pos	6617.316817354515
ACGAMK_pos	6407.215614051435
ACGAMPM_neg	0.0
ACGAMPM_pos	6407.215614051434
