	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
r0033_pos	5.807612523172633	7.071462362556624	6.253422057636538	7.07135509499712
r0034_pos	9.390039946404647	9.94823580600986	9.793895882548878	9.788375764087052
r0047_pos	4.856487779495678	5.922197848396367	5.227278994468321	6.037821465434967
r0051_pos	3.558879853475443	4.090430042321621	4.072105800480419	3.929790997718597
r0051_neg	3.558879853475443	4.090430042321621	4.072105800480419	3.929790997718597
r0055_pos	0.0	0.0	0.0	0.0
r0055_neg	0.0	0.0	0.0	0.0
r0060_pos	7.658282901530597	9.387004890405054	7.692092375427572	8.6056647045122
r0062_pos	5.4110872267986005	6.548898952865642	5.917193036924947	6.402244655254077
r0068_pos	5.925049964727359	8.088629255297176	6.230164577884252	7.533485480448152
r0074_pos	6.869871406177713	7.937815168803419	7.2173276682747955	7.957798547067071
r0074_neg	6.869871406177713	7.937815168803419	7.2173276682747955	7.957798547067071
r0081_pos	7.950818313915181	9.100084093977516	8.294528854561147	8.912200748982581
r0081_neg	7.950818313915181	9.100084093977516	8.294528854561147	8.912200748982581
r0082_pos	7.3346755299346515	8.28738917966055	7.574479999326676	8.18937982405887
r0083_pos	8.11890647530529	9.144853647654235	8.33771109212829	9.03937604459183
r0084_pos	7.7669263817506735	8.880348808156027	8.02685537634458	8.781654780061338
r0085_pos	0.0	0.0	0.0	0.0
r0086_pos	0.0	0.0	0.0	0.0
r0093_pos	4.94063660720115	4.971313624068878	5.3473113163652854	4.895787316463311
r0097_pos	5.925049964727359	8.088629255297176	6.230164577884252	7.533485480448152
r0113_pos	5.842476062993939	6.018812185742817	6.1888360730305285	5.64587455030903
r0119_pos	4.157852169141737	4.69655030107857	4.238786859587116	4.794935662803536
r0122_pos	6.445594291341182	8.883376436672842	7.283551423174307	8.80783788642329
r0127_pos	0.0	0.0	0.0	0.0
r0129_pos	1.1076878693143737	2.1634987322828794	1.8217102150346742	2.608809242675524
r0129_neg	1.1076878693143737	2.1634987322828794	1.8217102150346742	2.608809242675524
r0130_pos	1.1076878693143737	2.1634987322828794	1.8217102150346742	2.608809242675524
r0130_neg	1.1076878693143737	2.1634987322828794	1.8217102150346742	2.608809242675524
r0139_pos	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
r0139_neg	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
r0142_pos	5.436961337833602	6.466790237803096	5.578938713093386	6.487840033823051
r0145_pos	1.063502942306158	1.7355221772965375	1.0071955014042038	1.372952097911829
r0145_neg	1.063502942306158	1.7355221772965375	1.0071955014042038	1.372952097911829
r0149_pos	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
r0149_neg	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
r0153_pos	6.445594291341182	8.883376436672842	7.283551423174307	8.80783788642329
r0156_pos	0.0	0.0	0.0	0.0
r0157_pos	0.0	0.0	0.0	0.0
r0160_pos	7.961276039609427	7.234673753087671	8.042644337408493	7.037162550127378
r0163_pos	5.612352498752662	6.454340424752484	5.77899700616954	6.49761236561836
r0165_pos	6.445594291341182	8.883376436672842	7.283551423174307	8.80783788642329
r0166_pos	4.157852169141737	4.69655030107857	4.238786859587116	4.794935662803536
r0170_pos	5.508428652531857	6.260590274730996	6.083638879250706	6.219942913954125
r0170_neg	5.508428652531857	6.260590274730996	6.083638879250706	6.219942913954125
r0173_pos	8.817143558407796	9.825483550644371	9.034028586078207	9.898268826385484
r0173_neg	8.817143558407796	9.825483550644371	9.034028586078207	9.898268826385484
r0178_pos	3.779259720372376	4.792855352362489	3.985500430304885	4.881664619320345
r0178_neg	3.779259720372376	4.792855352362489	3.985500430304885	4.881664619320345
r0179_pos	0.0	0.0	0.0	0.0
r0181_pos	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
r0181_neg	1.4005379295837286	2.3015876466031866	1.3673710656485294	2.5008020530571575
r0186_pos	5.127633279725874	6.781621997870603	5.472487771462744	7.168220813654592
r0191_pos	3.212569338850806	4.758622982440239	3.587364990936461	4.867402305727543
r0193_pos	7.300032180101145	7.9259994185562235	7.663131102919497	8.042917880770434
r0193_neg	7.300032180101145	7.9259994185562235	7.663131102919497	8.042917880770434
r0196_pos	6.547203024756931	7.722875822809563	6.893726236597223	6.90797221133397
r0196_neg	6.547203024756931	7.722875822809563	6.893726236597223	6.90797221133397
r0202_pos	7.203690587077789	8.525873120357806	7.57349571549561	8.783489394889259
r0202_neg	7.203690587077789	8.525873120357806	7.57349571549561	8.783489394889259
r0208_pos	5.044394119358453	5.111865963867557	5.217618485351048	5.119771161952903
r0208_neg	5.044394119358453	5.111865963867557	5.217618485351048	5.119771161952903
r0210_pos	7.829595899177507	8.10150300916717	7.860590409374856	8.058099988493412
r0224_pos	3.049630767724601	3.777156666004501	3.538538163629804	3.6403895600549454
r0226_pos	3.049630767724601	3.777156666004501	3.538538163629804	3.6403895600549454
