	WT-DHA-b_S128_L007_R1_001
ACN13ACNGALGBSIDEte_pos	11573.565613236342
ACN13ACNGALGBSIDEtg_neg	11573.56561323634
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11573.565613236342
ACN23ACNGALGBSIDEtg_neg	11573.56561323634
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12803.238761989842
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12803.238761989842
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11599.63056368286
ACNACNGALGBSIDEtg_neg	11599.630563682858
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8908.699144611763
ACNAM9PL_pos	8584.597684620729
ACNAMPH_pos	8584.597684620729
ACNAMlt_neg	18267.86950054085
ACNAMlt_pos	0.0
ACNAMtn_pos	8855.947649733922
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10476.725011702767
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10476.725011702769
ACNMLr_neg	19142.602041648133
ACNMLr_pos	8584.597684620725
ACOAD10m_pos	317.1398588893196
ACOAD1fm_pos	18684.904184024657
ACOAD8m_pos	325.7942054195957
ACOAD9m_pos	12100.839232502332
ACOAHi_pos	3403.109892577488
ACOAO7p_pos	18197.33910967959
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1197.014828583361
ACONT_pos	1197.014828583361
ACONTm_neg	354.92371442405647
ACONTm_pos	354.92371442405647
ACOX22x_pos	69419.21419227969
ACOX2x_pos	59505.796171603666
ACP1_FMN__pos	3515.373401167754
ACRNtm_pos	2601.724338193834
