	Ob.EPA.c_S137_L007_R1_001	Ob.EPA.e_S153_L007_R1_001	Ob.1012.b_S133_L007_R1_001	WT.911.b_S129_L007_R1_001
GLYBt4_2_r_pos	5.208673319629471	5.599317793698226	5.203592714207708	5.474760499576783
GLYBt4_2_r_neg	5.208673319629471	5.599317793698226	5.203592714207708	5.474760499576783
GLYBtm_pos	0.0	0.0	0.0	0.0
GLYBtm_neg	0.0	0.0	0.0	0.0
GLYC3Ptm_pos	0.0	0.0	0.0	0.0
GLYCK2_pos	0.0	0.0	0.0	0.0
GLYCLTDy_pos	7.90080644290863	8.159316347334773	8.03006013876434	7.746379954458578
GLYCLTDym_pos	0.0	0.0	0.0	0.0
GLYCLTtp_pos	0.0	0.0	0.0	0.0
GLYC_St_pos	0.0	0.0	0.0	0.0
GLYCt_pos	0.0	0.0	0.0	0.0
GLYCt_neg	0.0	0.0	0.0	0.0
GLYCtm_pos	0.0	0.0	0.0	0.0
GLYCtm_neg	0.0	0.0	0.0	0.0
GLYCTO1p_pos	7.2864191453373275	7.261530815243406	6.993787563134839	7.573950083786874
GLYK_pos	0.0	0.0	0.0	0.0
GLYKm_pos	0.0	0.0	0.0	0.0
GLYOp_pos	0.0	0.0	0.0	0.0
GLYOX_pos	7.969185033651319	7.738024684499708	7.977566144122002	8.37473521658562
GLYOXm_pos	7.939931764727612	7.691254978650136	7.9565213633331195	8.330961681612731
GLYt2r_pos	3.456806149230474	4.040015678847879	3.72137265947682	3.5298209465286954
GLYt2r_neg	3.456806149230474	4.040015678847879	3.72137265947682	3.5298209465286954
GLYt2rL_pos	3.456806149230474	4.040015678847879	3.72137265947682	3.5298209465286954
GLYt2rL_neg	3.456806149230474	4.040015678847879	3.72137265947682	3.5298209465286954
GLYt4_pos	8.773732650607855	8.985130373466898	8.619266268489191	8.395919659458956
GLYt7_211_r_pos	4.926948247949772	5.256255873202732	5.161484638641659	4.663913842115978
GLYt7_211_r_neg	4.926948247949772	5.256255873202732	5.161484638641659	4.663913842115978
GLYtm_pos	0.0	0.0	0.0	0.0
GLYtm_neg	0.0	0.0	0.0	0.0
GLYtp_pos	0.0	0.0	0.0	0.0
GLYtp_neg	0.0	0.0	0.0	0.0
GLYVESSEC_pos	0.0	0.0	0.0	0.0
GMAND_pos	1.5753123306874368	0.7048719644563528	0.918386234446348	1.4382928515791469
GMPR_pos	3.84197311892718	3.3319917782320596	3.86195536414487	3.7623488156441294
GMPS2_pos	3.790772037862	4.018812185742817	3.463360885816658	3.718087583960517
GMPtg_pos	0.0	0.0	0.0	0.0
GMPtg_neg	0.0	0.0	0.0	0.0
GMPtn_pos	0.0	0.0	0.0	0.0
GMPtn_neg	0.0	0.0	0.0	0.0
GND_pos	6.863814587359642	7.470048726011326	6.966707314150316	4.68873986801449
