	WT.DHA.d_S143_L007_R1_001	WT.DHA.b_S128_L007_R1_001	WT.EPA.a_S117_L007_R1_001	WT.1012.d_S145_L007_R1_001
FACOAL1821_pos	7.578259460360899	8.076174256724249	6.728464765092534	8.261154672615572
FACOAL1821_neg	7.578259460360899	8.076174256724249	6.728464765092534	8.261154672615572
FACOAL1822_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL1822_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL1831_pos	8.576635505352234	8.740758948296781	8.263269200372662	9.064850525061098
FACOAL1831_neg	8.576635505352234	8.740758948296781	8.263269200372662	9.064850525061098
FACOAL1832_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL1832_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL184_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL184_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL191_pos	9.138886126872915	9.725775233365312	8.992088609013996	9.856378838710127
FACOAL200_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL203_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL203_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL204_pos	7.578259460360899	8.076174256724249	6.728464765092534	8.261154672615572
FACOAL204_neg	7.578259460360899	8.076174256724249	6.728464765092534	8.261154672615572
FACOAL2042_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL2042_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL205_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL205_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL206_pos	9.138886126872915	9.725775233365312	8.992088609013996	9.856378838710127
FACOAL206_neg	9.138886126872915	9.725775233365312	8.992088609013996	9.856378838710127
FACOAL224_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL224_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL2251_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL2251_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL2252_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL2252_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL226_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL226_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL240_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL240_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL241_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL241_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL244_1_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL244_1_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL245_1_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL245_1_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL245_2_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL245_2_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL246_1_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL246_1_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL260_pos	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL260_neg	7.439955517478156	7.9501184295025755	6.326249700837456	8.136529785918725
FACOAL40im_pos	7.559185865787734	7.727103603522661	7.550669839595823	7.566130167826838
FACOAL80i_pos	2.9126498648972037	3.323370069061269	2.990954860396993	3.2779847472997656
FADDP_pos	5.255500733148386	5.275752048828529	4.352617298958503	5.597233189086131
FADH2tru_pos	0.0	0.0	0.0	0.0
FADH2tx_pos	0.0	0.0	0.0	0.0
FADH2tx_neg	0.0	0.0	0.0	0.0
FADtru_pos	0.0	0.0	0.0	0.0
FADtx_pos	0.0	0.0	0.0	0.0
FADtx_neg	0.0	0.0	0.0	0.0
FAEL183_pos	0.0	0.0	0.0	0.0
FAEL184_pos	0.0	0.0	0.0	0.0
FAEL204_pos	0.0	0.0	0.0	0.0
FAEL205_pos	0.0	0.0	0.0	0.0
FAH1_pos	0.0	0.0	0.0	0.0
FAH2_pos	0.0	0.0	0.0	0.0
FAH3_pos	0.0	0.0	0.0	0.0
FALDH_pos	7.981567281903015	7.9950887410337765	8.043574173305755	8.010052490595216
FALDH_neg	7.981567281903015	7.9950887410337765	8.043574173305755	8.010052490595216
