	Ob.a_S121_L007_R1_001
5ADTSTSTERONEte_pos	7.199393021249425
5ADTSTSTERONEtr_neg	38.900225628451075
5ADTSTSTERONEtr_pos	55244.19856460213
5AOPtm_neg	14518.135416065914
5AOPtm_pos	0.0
5DHFtl_pos	3210.224281811255
5FTHFt2_neg	0.0
5FTHFt2_pos	6.4446457555967465
5HLTDL_pos	7.491807968122945
5HOMEPRAZOLEte_neg	7.477561302418027
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	439.4546017733116
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.495140106597484
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15116.456649279151
5MTAte_pos	14926.106235089605
5MTHFt2_neg	1286.2157771645327
5MTHFt2_pos	1286.2157771645327
5MTHFt2le_neg	2342.300397196458
5MTHFt2le_pos	2342.300397196458
5MTHFt_neg	1286.2157771645327
5MTHFt_pos	1286.2157771645327
5OXPROt_neg	10259.84683205987
5OXPROt_pos	6078.139064662746
5THFtl_pos	3208.6118035841855
5THFtm_pos	3781.957659982518
6DHFtl_pos	3452.350666193707
6DHFtm_pos	3844.1496343988783
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52010.802782905055
6HTSTSTERONEtr_neg	52010.80278290506
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3452.350666193707
6THFtm_pos	3844.149634398879
7DHCHSTEROLtr_neg	10953.4588042256
7DHCHSTEROLtr_pos	76511.22741981268
7DHFtl_pos	3587.4848738050987
7DHFtm_pos	3887.9809208478805
7THFtl_pos	3587.4848738050996
7THFtm_pos	3887.9809208478814
A4GALTc_pos	0.0
A4GALTg_pos	11198.901271197135
A4GNT1g_pos	0.0
A4GNT2g_pos	253.51094181885742
AACOAT_pos	4125.557348719579
AACTOOR_pos	12193.109183354
AACTtm_pos	12193.109183354
AASAD3m_pos	26.267691242044503
AATAi_neg	3896.037618607043
AATAi_pos	48.512819314263155
ABO1g_pos	10526.750441887792
ABO2g_pos	10154.991339919252
ABO3g_pos	10300.17254346301
ABO4g_pos	9509.991695441366
ABO5g_pos	9509.991695441366
ABO6g_pos	8906.512697617634
ABO7g_pos	8906.512697617634
ABO8g_pos	9189.051554833195
ABO9g_pos	8277.600119055676
ABTArm_neg	9431.691544713882
ABTArm_pos	12433.271116980346
ABTD_neg	5059.604763646714
ABTD_pos	7.882219196663247
ABTti_pos	5059.604763646714
ABUTD_pos	12310.221130297787
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	503.9989621720131
ABUTt2r_pos	599.5290026268126
ABUTt4_2_r_neg	599.5290026268125
ABUTt4_2_r_pos	503.9989621720131
ACACT10m_neg	13475.295010369504
ACACT10m_pos	9652.845390837201
ACACT1r_neg	7056.2483180729805
ACACT1r_pos	16017.240091969006
ACACT1rm_pos	4999.830266678581
ACACT1x_pos	9654.895079861453
ACACT4p_pos	24033.298639406654
ACACT5p_pos	24033.298639406665
ACACT6p_pos	24033.298639406654
ACACT7p_pos	23376.545262787768
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	385.14267781320166
ACACt2_pos	385.14267781320166
ACACt2m_neg	1235.8792506309946
ACACt2m_pos	1235.8792506309946
ACACtx_neg	5751.7546032920845
ACACtx_pos	0.0
ACALDt_neg	6248.95619495887
ACALDt_pos	5.134466694553008
ACALDtm_neg	8899.598912290592
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54265.75840352276
ACALDtx_neg	0.0
ACALDtx_pos	11.73968650143943
ACCOAC_pos	4222.708882499678
ACCOACm_pos	4278.948172716243
