	Ob-DHA-c_S138_L007_R1_001	WT-1012-a_S120_L007_R1_001	Ob-1012-a_S125_L007_R1_001	Ob-DHA-a_S123_L007_R1_001
SIAT9g_pos	6.977508904540138	6.314152693882218	7.035733867052591	6.84197311892718
sink_citr(c)_pos	0.0	0.0	0.0	0.0
sink_pre_prot(r)_pos	0.0	0.0	0.0	0.0
sink_pre_prot(r)_neg	0.0	0.0	0.0	0.0
SLCBK1_pos	5.1586601753464985	4.709290635723358	5.253232938538032	4.793375711264754
SLDt_pos	0.0	0.0	0.0	0.0
SLDx_pos	8.750305018670497	8.20011391859104	8.888682374405501	8.744396590931299
SLDx_neg	8.750305018670497	8.20011391859104	8.888682374405501	8.744396590931299
SLDxm_pos	8.19574129324645	7.16540952031982	8.596711566948468	8.267535798068735
SLDxm_neg	8.19574129324645	7.16540952031982	8.596711566948468	8.267535798068735
SMPD3g_pos	3.169925001442312	0.963474123974886	3.1618876823768938	2.910732661902913
SMPD3l_pos	3.169925001442312	0.963474123974886	3.1618876823768938	2.910732661902913
SMPD4_pos	0.0	0.0	0.0	0.0
SMS_pos	3.396433531250992	1.726831217032493	3.6099912952126787	3.0874628412503395
SO4CLtex2_pos	1.8278190246173196	2.8011586560936985	2.2839217723076173	2.488000770834068
SO4HCOtex_pos	6.2299723851122515	5.483170853229874	7.002702520379824	6.394719912994065
SO4OXAtex2_pos	1.8278190246173196	2.8011586560936985	2.2839217723076173	2.488000770834068
SO4t4_2_pos	0.35614381022527536	0.23878685958711648	0.0	0.11103131238874395
